Time (s),White pixels,Mean Brightness
254.234000,0.147858,50.196078
254.733000,0.139160,50.000000
255.234000,0.141449,50.196078
255.734000,0.138474,50.196078
256.233000,0.151215,50.196078
256.733000,0.152435,50.392157
257.233000,0.160522,50.196078
257.734000,0.150681,50.196078
258.233000,0.166702,50.196078
258.734000,0.160828,50.196078
259.233000,0.170212,50.196078
259.734000,0.167694,50.196078
260.234000,0.171051,50.196078
260.734000,0.171127,50.196078
261.234000,0.170364,50.196078
261.733000,0.186462,50.196078
262.234000,0.180664,50.196078
262.734000,0.174026,50.196078
263.233000,0.194550,50.196078
263.734000,0.169296,50.196078
264.234000,0.187759,50.196078
264.733000,0.190582,50.196078
265.233000,0.194626,50.196078
265.734000,0.195084,50.196078
266.234000,0.194550,50.196078
266.734000,0.193863,50.196078
267.234000,0.195389,50.196078
267.733000,0.189209,50.196078
268.234000,0.189819,50.196078
268.735000,0.186386,50.392157
269.233000,0.187531,50.196078
269.734000,0.191345,50.196078
270.234000,0.179672,50.196078
270.734000,0.191574,50.196078
271.234000,0.191040,50.196078
271.734000,0.191345,50.196078
272.234000,0.186768,50.196078
272.735000,0.183334,50.392157
273.233000,0.185928,50.196078
273.734000,0.190582,50.196078
274.235000,0.182571,50.196078
274.733000,0.187531,50.392157
275.233000,0.185318,50.392157
275.735000,0.180130,50.196078
276.233000,0.187759,50.196078
276.734000,0.189743,50.196078
277.233000,0.180206,50.196078
277.735000,0.186157,50.392157
278.234000,0.185623,50.196078
278.734000,0.188980,50.196078
279.234000,0.188141,50.196078
279.734000,0.181351,50.196078
280.235000,0.188141,50.196078
280.733000,0.175934,50.196078
281.233000,0.177460,50.196078
281.734000,0.184250,50.196078
282.235000,0.187607,50.196078
282.734000,0.172119,50.196078
283.234000,0.182877,50.196078
283.735000,0.180511,50.196078
284.234000,0.168457,50.196078
284.734000,0.166931,50.196078
285.234000,0.164948,50.000000
285.733000,0.162201,50.196078
286.234000,0.164413,50.196078
286.733000,0.156860,50.196078
287.233000,0.154648,50.196078
287.734000,0.159683,50.196078
288.234000,0.162888,50.196078
288.734000,0.156631,50.196078
289.233000,0.144806,50.196078
289.733000,0.137482,50.196078
290.233000,0.139999,50.196078
290.733000,0.131226,50.196078
291.233000,0.133591,50.196078
291.734000,0.131302,50.196078
292.234000,0.130768,50.196078
292.733000,0.132980,50.196078
293.234000,0.136414,50.196078
293.733000,0.132217,50.196078
294.233000,0.135956,50.196078
294.734000,0.140457,50.196078
295.234000,0.135345,50.196078
295.733000,0.150986,50.196078
296.233000,0.148239,50.196078
296.734000,0.147476,50.196078
297.234000,0.150833,50.196078
297.733000,0.157394,50.196078
298.234000,0.150604,50.196078
298.733000,0.163422,50.196078
299.233000,0.155716,50.196078
299.733000,0.172729,50.000000
300.234000,0.159454,50.196078
300.733000,0.180359,50.196078
301.234000,0.168686,50.196078
301.733000,0.169067,50.196078
302.233000,0.182800,50.196078
302.735000,0.168610,50.000000
303.233000,0.185547,50.196078
303.733000,0.184097,50.196078
304.233000,0.186234,50.196078
304.734000,0.188370,50.196078
305.234000,0.187149,50.196078
305.734000,0.183945,50.196078
306.234000,0.184784,50.392157
306.734000,0.179672,50.196078
307.233000,0.179062,50.196078
307.734000,0.179825,50.392157
308.233000,0.176926,50.196078
